epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1759,1.17314,2.7781,3.60792,1.47389,0,0.57694,0.13169,0.1222,0.08975,0.58018,0.12318,0.11802,0.08432,1.44369,2.82971,3.85684,1.80105,0,0.000103855,0.000103855,0.000103855
2,78.1645,1.17806,2.48442,2.91168,1.46338,0,0.36896,0.26549,0.20096,0.14012,0.35975,0.25261,0.19135,0.13347,1.42283,2.71527,3.35485,1.79353,0,0.000204753,0.000204753,0.000204753
3,115.781,1.18238,2.45869,2.66789,1.46649,0,0.43805,0.27486,0.23504,0.16096,0.42914,0.26512,0.22271,0.15127,1.47354,2.79092,3.13039,1.81384,0,0.000302208,0.000302208,0.000302208
4,153.491,1.18826,2.45464,2.51469,1.46179,0,0.42309,0.31738,0.26966,0.17875,0.41446,0.30841,0.25185,0.1642,1.45416,2.76609,2.93752,1.82818,0,0.000297507,0.000297507,0.000297507
5,190.962,1.16302,2.39741,2.36464,1.43935,0,0.40999,0.31466,0.28976,0.18941,0.38764,0.30268,0.27009,0.17724,1.47934,2.70068,2.75556,1.81468,0,0.000292342,0.000292342,0.000292342
6,229.495,1.1646,2.40043,2.28569,1.43704,0,0.43388,0.31917,0.30792,0.20109,0.40303,0.30257,0.28635,0.18575,1.51686,2.71486,2.79035,1.8429,0,0.000287178,0.000287178,0.000287178
7,266.523,1.1323,2.3391,2.19575,1.42124,0,0.50508,0.33048,0.33646,0.22336,0.48752,0.31528,0.31194,0.2046,1.44179,2.64695,2.58956,1.77228,0,0.000282013,0.000282013,0.000282013
8,303.549,1.1315,2.33878,2.15827,1.42086,0,0.36297,0.34692,0.33559,0.22101,0.35178,0.33118,0.3168,0.20587,1.43574,2.59974,2.58433,1.80056,0,0.000276849,0.000276849,0.000276849
9,341.55,1.11381,2.31679,2.09784,1.40334,0,0.43648,0.36262,0.3501,0.22647,0.41778,0.36345,0.33969,0.21871,1.42521,2.56129,2.43118,1.74178,0,0.000271684,0.000271684,0.000271684
10,378.845,1.11314,2.29713,2.06486,1.40833,0,0.34745,0.38665,0.3464,0.22977,0.34552,0.38001,0.33506,0.21681,1.39644,2.58823,2.43615,1.74455,0,0.00026652,0.00026652,0.00026652
11,416.428,1.10004,2.29811,2.01215,1.39295,0,0.48515,0.38388,0.36937,0.24696,0.47682,0.37591,0.35587,0.23263,1.38247,2.56826,2.3535,1.69534,0,0.000261355,0.000261355,0.000261355
12,453.49,1.08835,2.25612,1.96537,1.38722,0,0.47739,0.39268,0.36203,0.23431,0.47074,0.36884,0.34468,0.20439,1.41926,2.61559,2.37266,1.77819,0,0.000256191,0.000256191,0.000256191
13,490.686,1.09126,2.25188,1.94489,1.38743,0,0.39572,0.43164,0.3801,0.24882,0.39664,0.38761,0.36709,0.23377,1.36684,2.55501,2.34075,1.70213,0,0.000251026,0.000251026,0.000251026
14,527.816,1.08275,2.22123,1.88411,1.3729,0,0.48205,0.38085,0.40407,0.26746,0.47085,0.37114,0.38518,0.24917,1.3716,2.53289,2.33161,1.71337,0,0.000245862,0.000245862,0.000245862
15,564.912,1.07168,2.20409,1.8583,1.37313,0,0.42416,0.43018,0.40868,0.26612,0.41436,0.41633,0.39052,0.24609,1.36733,2.52121,2.29031,1.7213,0,0.000240697,0.000240697,0.000240697
16,601.699,1.07144,2.18932,1.85533,1.36788,0,0.48835,0.40313,0.4151,0.27881,0.46123,0.39197,0.39002,0.25658,1.3461,2.50927,2.19892,1.69269,0,0.000235533,0.000235533,0.000235533
17,639.428,1.05424,2.15324,1.80422,1.35237,0,0.44207,0.40332,0.4222,0.27487,0.4354,0.39204,0.40408,0.26054,1.36723,2.60531,2.16846,1.68549,0,0.000230368,0.000230368,0.000230368
18,676.868,1.04784,2.1645,1.77751,1.35711,0,0.44617,0.40695,0.40889,0.27493,0.43834,0.40793,0.39191,0.25377,1.36171,2.50339,2.24627,1.70242,0,0.000225204,0.000225204,0.000225204
19,714.486,1.02927,2.11211,1.74054,1.33982,0,0.40346,0.40967,0.39075,0.25849,0.39078,0.39594,0.36895,0.24041,1.39815,2.55258,2.278,1.7255,0,0.000220039,0.000220039,0.000220039
20,752.218,1.03388,2.10414,1.74831,1.34345,0,0.46543,0.43602,0.43186,0.29049,0.45012,0.42471,0.41182,0.2701,1.32916,2.47681,2.04112,1.66896,0,0.000214875,0.000214875,0.000214875
21,789.461,1.03739,2.17735,1.73142,1.34392,0,0.48485,0.43388,0.44518,0.29479,0.45666,0.42013,0.42831,0.26955,1.33723,2.4785,2.06569,1.67354,0,0.00020971,0.00020971,0.00020971
22,827.434,1.01294,2.09256,1.68949,1.33285,0,0.47213,0.42241,0.44038,0.29813,0.43517,0.46016,0.42591,0.27542,1.36101,2.46924,2.11783,1.68461,0,0.000204545,0.000204545,0.000204545
23,864.672,1.01421,2.09798,1.66473,1.3295,0,0.45455,0.46424,0.45713,0.30713,0.42917,0.46176,0.43339,0.28476,1.35317,2.4576,2.04342,1.67333,0,0.000199381,0.000199381,0.000199381
