epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
24,901.555,1.00585,2.07142,1.64192,1.32093,0,0.48913,0.45752,0.46964,0.31569,0.45627,0.44641,0.446,0.29818,1.3269,2.44689,1.99997,1.66333,0,0.000194217,0.000194217,0.000194217
25,938.492,1.00594,2.07947,1.62729,1.31891,0,0.43596,0.43436,0.42834,0.28838,0.41899,0.4338,0.41015,0.26939,1.34745,2.45734,2.16322,1.67579,0,0.000189052,0.000189052,0.000189052
26,975.239,1.00337,2.06589,1.61139,1.31567,0,0.49421,0.44044,0.45771,0.30939,0.4791,0.43346,0.43391,0.2845,1.30541,2.46294,2.01783,1.64304,0,0.000183887,0.000183887,0.000183887
27,1011.96,1.00748,2.07398,1.60558,1.31906,0,0.49092,0.46479,0.45325,0.30545,0.48194,0.45812,0.44007,0.28543,1.34744,2.45319,2.04023,1.66996,0,0.000178723,0.000178723,0.000178723
28,1048.67,0.98941,2.03765,1.57235,1.30533,0,0.54829,0.46561,0.49012,0.33186,0.52777,0.44637,0.45896,0.30429,1.30953,2.42759,1.93029,1.63467,0,0.000173559,0.000173559,0.000173559
29,1085.49,0.98342,2.01119,1.56528,1.30021,0,0.49671,0.47053,0.47729,0.3258,0.48144,0.45656,0.45357,0.29984,1.31386,2.41536,2.02134,1.63886,0,0.000168394,0.000168394,0.000168394
30,1122.27,0.97869,2.00785,1.52646,1.29383,0,0.50834,0.47485,0.48708,0.34143,0.48265,0.4764,0.47049,0.31328,1.2959,2.42262,1.94057,1.63515,0,0.000163229,0.000163229,0.000163229
31,1159.18,0.97828,1.99567,1.51552,1.29112,0,0.52214,0.43841,0.44803,0.30508,0.51098,0.42691,0.43124,0.2859,1.31721,2.45832,2.19414,1.63575,0,0.000158065,0.000158065,0.000158065
32,1196.27,0.96997,1.99407,1.51064,1.29019,0,0.46677,0.44597,0.44987,0.3066,0.45287,0.4338,0.4307,0.28679,1.3268,2.46151,2.13211,1.64779,0,0.0001529,0.0001529,0.0001529
33,1233.28,0.96075,1.99337,1.4749,1.28188,0,0.52327,0.44712,0.47909,0.32419,0.51222,0.43592,0.46316,0.30197,1.3077,2.46348,1.96844,1.63141,0,0.000147736,0.000147736,0.000147736
34,1270.25,0.9609,1.98026,1.48313,1.28557,0,0.54053,0.45934,0.4774,0.32809,0.52291,0.44881,0.45985,0.30097,1.2901,2.40644,1.99,1.61436,0,0.000142572,0.000142572,0.000142572
35,1307.06,0.95898,1.96273,1.46329,1.28407,0,0.48533,0.47452,0.46811,0.32112,0.46415,0.46443,0.44968,0.29299,1.30896,2.44406,2.01965,1.64208,0,0.000137407,0.000137407,0.000137407
36,1343.82,0.943,1.96311,1.44462,1.27013,0,0.48865,0.47665,0.47063,0.3167,0.47135,0.46969,0.44724,0.2904,1.29161,2.45441,1.99523,1.62222,0,0.000132243,0.000132243,0.000132243
37,1380.59,0.95415,1.94935,1.44332,1.27216,0,0.51586,0.4738,0.48313,0.3341,0.49582,0.45486,0.44874,0.29773,1.29535,2.42537,1.97157,1.62908,0,0.000127078,0.000127078,0.000127078
38,1417.4,0.92975,1.94932,1.40729,1.26485,0,0.5377,0.47531,0.49186,0.34158,0.50851,0.46523,0.46951,0.30954,1.2897,2.39675,1.86703,1.61807,0,0.000121913,0.000121913,0.000121913
39,1454.15,0.93696,1.91143,1.40085,1.26863,0,0.54095,0.46815,0.48417,0.33636,0.50989,0.46278,0.46128,0.30465,1.29631,2.44583,1.94769,1.6261,0,0.000116749,0.000116749,0.000116749
40,1490.92,0.94179,1.93253,1.41573,1.26665,0,0.5146,0.48138,0.48227,0.33576,0.49404,0.47275,0.46315,0.31426,1.31233,2.44512,1.99895,1.6504,0,0.000111585,0.000111585,0.000111585
41,1527.72,0.92079,1.89864,1.37695,1.25096,0,0.53185,0.46582,0.48874,0.34279,0.5086,0.47456,0.47287,0.31518,1.28481,2.43232,1.98357,1.61995,0,0.00010642,0.00010642,0.00010642
42,1564.8,0.91519,1.88231,1.37122,1.24735,0,0.51261,0.48854,0.48841,0.33531,0.49869,0.47308,0.46358,0.30878,1.29436,2.4325,1.95973,1.62269,0,0.000101256,0.000101256,0.000101256
43,1601.71,0.91359,1.88582,1.35041,1.24664,0,0.52145,0.49455,0.49773,0.34678,0.51591,0.48332,0.48086,0.31884,1.2824,2.39821,1.92504,1.62283,0,9.61E-05,9.61E-05,9.61E-05
44,1638.49,0.90815,1.87317,1.34378,1.23957,0,0.53147,0.48643,0.49741,0.34369,0.51095,0.46971,0.47431,0.31724,1.29648,2.41077,1.99332,1.63465,0,9.09E-05,9.09E-05,9.09E-05
45,1675.28,0.91441,1.8887,1.3432,1.24565,0,0.59858,0.45234,0.50259,0.35019,0.4874,0.48604,0.48073,0.31995,1.28158,2.38484,1.94201,1.62301,0,8.58E-05,8.58E-05,8.58E-05
46,1712.14,0.90116,1.84089,1.3111,1.24181,0,0.52098,0.50885,0.50584,0.35667,0.51043,0.49871,0.49255,0.32608,1.27423,2.38267,1.92706,1.61198,0,8.06E-05,8.06E-05,8.06E-05
47,1749.01,0.90168,1.86574,1.31618,1.23956,0,0.58153,0.48114,0.5124,0.36125,0.57074,0.45787,0.48875,0.32498,1.26738,2.40197,1.89517,1.60542,0,7.54E-05,7.54E-05,7.54E-05
48,1785.73,0.89991,1.85791,1.31059,1.23647,0,0.54159,0.50509,0.50431,0.35621,0.52435,0.49385,0.48236,0.32398,1.27699,2.39392,1.92852,1.6152,0,7.03E-05,7.03E-05,7.03E-05
49,1822.47,0.89111,1.84429,1.299,1.23159,0,0.55175,0.50208,0.51054,0.35547,0.54362,0.49863,0.48913,0.3267,1.29198,2.41772,1.91163,1.62719,0,6.51E-05,6.51E-05,6.51E-05
50,1859.15,0.88885,1.85326,1.29732,1.22954,0,0.57564,0.48381,0.51606,0.35974,0.56221,0.47238,0.49386,0.33056,1.2688,2.39554,1.87253,1.607,0,5.99E-05,5.99E-05,5.99E-05
51,1896.87,0.91919,1.75584,1.13388,1.31624,0,0.62583,0.46019,0.51279,0.35679,0.60593,0.4471,0.49168,0.3289,1.27664,2.42603,1.91466,1.61037,0,5.48E-05,5.48E-05,5.48E-05
52,1933.43,0.88621,1.70146,1.05795,1.29027,0,0.64057,0.47789,0.52394,0.36594,0.62622,0.46636,0.50067,0.3355,1.26463,2.41179,1.85621,1.60205,0,4.96E-05,4.96E-05,4.96E-05
53,1969.74,0.87569,1.6647,1.02799,1.28302,0,0.57196,0.48717,0.52179,0.36668,0.55094,0.47226,0.49904,0.33574,1.25635,2.38841,1.86073,1.59723,0,4.44E-05,4.44E-05,4.44E-05
54,2006.11,0.86047,1.65049,1.00294,1.27203,0,0.57228,0.49496,0.52628,0.37153,0.56058,0.48396,0.50773,0.3465,1.25775,2.38873,1.85931,1.60279,0,3.93E-05,3.93E-05,3.93E-05
55,2042.45,0.8593,1.64223,0.98916,1.26837,0,0.63637,0.46949,0.5266,0.37686,0.62631,0.45974,0.5116,0.34939,1.25683,2.39214,1.83841,1.60022,0,3.41E-05,3.41E-05,3.41E-05
56,2078.86,0.85064,1.63343,0.97354,1.26755,0,0.58344,0.49492,0.52499,0.37548,0.5728,0.48818,0.51014,0.34761,1.25171,2.37753,1.84237,1.5974,0,2.90E-05,2.90E-05,2.90E-05
57,2115.24,0.84967,1.62506,0.96622,1.25924,0,0.5409,0.53317,0.52871,0.3798,0.52928,0.52516,0.51478,0.35226,1.24673,2.37579,1.83565,1.5916,0,2.38E-05,2.38E-05,2.38E-05
58,2152.13,0.82608,1.60592,0.93323,1.2377,0,0.56343,0.55151,0.53257,0.3799,0.55342,0.53707,0.51713,0.35087,1.2464,2.38895,1.86013,1.59422,0,1.86E-05,1.86E-05,1.86E-05
59,2188.85,0.8321,1.5842,0.94101,1.24725,0,0.58513,0.54753,0.53533,0.38111,0.5692,0.53972,0.51973,0.35261,1.24056,2.3754,1.84426,1.59449,0,1.35E-05,1.35E-05,1.35E-05
60,2225.62,0.83464,1.60218,0.93192,1.24789,0,0.56111,0.52091,0.53178,0.38128,0.54717,0.50789,0.51633,0.35148,1.2415,2.37537,1.85412,1.59235,0,8.29E-06,8.29E-06,8.29E-06
