epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1617.48,1.00011,2.03926,1.33681,1.2745,0,0.57241,0.47262,0.51181,0.35009,0.56662,0.44075,0.48508,0.31918,1.34078,2.53308,1.80262,1.64623,0,0.000136828,0.000136828,0.000136828
29,1674.64,0.99704,2.03758,1.3178,1.26948,0,0.55319,0.50828,0.5124,0.35139,0.53775,0.5039,0.49801,0.32465,1.34277,2.53078,1.76473,1.64806,0,0.000131006,0.000131006,0.000131006
30,1734.02,0.98979,2.02612,1.30983,1.26529,0,0.58592,0.47739,0.52144,0.36089,0.5773,0.46514,0.50225,0.33091,1.3243,2.52118,1.76043,1.62763,0,0.000125185,0.000125185,0.000125185
31,1792.25,0.98694,2.02463,1.29663,1.26441,0,0.59553,0.47601,0.5131,0.35492,0.56997,0.47672,0.49816,0.33057,1.33119,2.55164,1.78002,1.64158,0,0.000119364,0.000119364,0.000119364
32,1851.9,0.98351,2.00713,1.29093,1.26454,0,0.57628,0.47671,0.52108,0.35994,0.57368,0.46668,0.50485,0.33286,1.32386,2.51768,1.73936,1.63077,0,0.000113543,0.000113543,0.000113543
33,1921.37,0.97371,1.99883,1.27839,1.25418,0,0.60381,0.46639,0.5204,0.36184,0.56496,0.46509,0.50225,0.32914,1.31443,2.52377,1.72361,1.63215,0,0.000107722,0.000107722,0.000107722
34,1980.8,0.97297,1.9928,1.26969,1.25736,0,0.56845,0.4864,0.51449,0.35746,0.55575,0.47712,0.49675,0.32492,1.31945,2.51599,1.76909,1.62594,0,0.0001019,0.0001019,0.0001019
35,2038.07,0.96124,1.98043,1.25162,1.24551,0,0.54645,0.49701,0.51993,0.36199,0.54507,0.47341,0.50233,0.32774,1.30366,2.50385,1.72663,1.6227,0,9.60792e-05,9.60792e-05,9.60792e-05
36,2096.09,0.95646,1.96591,1.24494,1.24644,0,0.56071,0.47679,0.51548,0.35728,0.5493,0.46518,0.49496,0.32429,1.31619,2.52554,1.7877,1.63512,0,9.0258e-05,9.0258e-05,9.0258e-05
37,2153,0.94895,1.94258,1.22649,1.23807,0,0.5907,0.4894,0.52516,0.36908,0.57162,0.4802,0.50287,0.33507,1.29826,2.51929,1.72081,1.61794,0,8.44368e-05,8.44368e-05,8.44368e-05
